,Price,Close,High,Low,Open,Volume
1,Date,,,,,
2,2023-09-07,-1.7741194013796484,-1.7898625308990785,-1.7694826481328525,-1.7870135010877297,-1.177821178628702
3,2023-09-08,-1.7868346355357252,-1.7896860960680623,-1.7668115824895356,-1.7681420549875673,-1.1894595258177947
4,2023-09-09,-1.7872138247003877,-1.808144271398103,-1.7616832358540642,-1.7810465544258745,-1.418662523007533
5,2023-09-10,-1.7896254766957667,-1.806037677616316,-1.7682465526595068,-1.7814345001636918,-1.3147901060735858
6,2023-09-11,-1.815074577834923,-1.8095709169939145,-1.7956192713163523,-1.783845994606606,-1.0269805406201526
7,2023-09-12,-1.789583014635824,-1.7882630407159052,-1.7878010333373913,-1.8093318042710462,-0.8527054782171103
8,2023-09-13,-1.7745705978837243,-1.7911076127443675,-1.7628156393708583,-1.783624205360703,-1.092610829830356
9,2023-09-14,-1.7627368226433098,-1.7761577648971805,-1.7477665252583272,-1.768785095446676,-1.0608558972351734
10,2023-09-15,-1.7601135284575526,-1.7736865049384969,-1.7450965891570207,-1.7571810672656183,-1.161007850703308
11,2023-09-16,-1.76164951181817,-1.7769025572797712,-1.7361059618740986,-1.7544321416255086,-1.3361605231421643
12,2023-09-17,-1.7629453469901262,-1.7820334550835761,-1.7372169793954964,-1.7558856400447307,-1.363127775214595
13,2023-09-18,-1.7545800242439429,-1.752144383579608,-1.7383566119811567,-1.7572123699618627,-0.983368178096076
14,2023-09-19,-1.7372166049771864,-1.749367220207514,-1.7280975090205917,-1.7485586579903551,-1.0610134762261147
15,2023-09-20,-1.7402233939210972,-1.7534659595958193,-1.721062118957616,-1.7314919384295993,-1.0836317990585655
16,2023-09-21,-1.7616741576291859,-1.761965458461071,-1.7393673261720337,-1.734544989791516,-1.079751911695524
17,2023-09-22,-1.7612205113908825,-1.7779788976733035,-1.7352715315396396,-1.7560326588692725,-1.199708705563557
18,2023-09-23,-1.7612272667186006,-1.7814261910140325,-1.7343081828103974,-1.7554819687817858,-1.3360458845802436
19,2023-09-24,-1.773487295714593,-1.7783547742028354,-1.7458542106347748,-1.7554509627935624,-1.302191143958613
20,2023-09-25,-1.771904099294319,-1.7894046649277249,-1.7539346529657425,-1.767816714642239,-1.1387536242997143
21,2023-09-26,-1.7749915067646242,-1.7905909840095278,-1.7508793924332993,-1.7662602585396345,-1.2251909522270612
22,2023-09-27,-1.7698426850590965,-1.7745364401709662,-1.7500793001759554,-1.7694983073528163,-1.150757145326442
23,2023-09-28,-1.7444217929807408,-1.757967905327597,-1.7417569099463668,-1.7639414853533688,-1.0493596031053307
24,2023-09-29,-1.7485960658699626,-1.7592269817961101,-1.7265492081355802,-1.7385326714204494,-1.207539659970842
25,2023-09-30,-1.7464601945610996,-1.7642592578048373,-1.720102610671209,-1.7428300420465892,-1.425111655405458
26,2023-10-01,-1.707850378808321,-1.7284163899974205,-1.7171676087114696,-1.740714365500886,-1.245876647818184
27,2023-10-02,-1.7250666655526887,-1.7116391814004241,-1.7024128532468403,-1.7023786506740535,-0.8039202473359883
28,2023-10-03,-1.7288981241188073,-1.7426736139004237,-1.7074938344206771,-1.7201734175420134,-1.1640971527897517
29,2023-10-04,-1.7148573610425628,-1.736691315458576,-1.7062560822857162,-1.7231804791606324,-1.1754566516993694
30,2023-10-05,-1.7294327600553578,-1.7267423839408491,-1.7013404660621974,-1.709144632037203,-1.1439329690935216
31,2023-10-06,-1.7092624650045256,-1.72071473119651,-1.707511154064836,-1.7238242613897943,-1.0745567468657355
32,2023-10-07,-1.7084170839929402,-1.7291346585391358,-1.6822625768098873,-1.7035186770687982,-1.3726276983164647
33,2023-10-08,-1.7096998539156831,-1.7263556634100754,-1.687265544282208,-1.7025731427819994,-1.3140460508704517
34,2023-10-09,-1.7230563245643902,-1.7305835050293816,-1.7041564895968446,-1.7039861405563173,-1.1383311608621565
35,2023-10-10,-1.730378877107751,-1.740848304718417,-1.704191505399166,-1.7170990773795702,-1.225712732110367
36,2023-10-11,-1.7500555878289354,-1.7499167472974726,-1.7327436165204368,-1.7245856141723865,-1.067868731383277
37,2023-10-12,-1.7544843361403308,-1.770650038050221,-1.7328507724058202,-1.7442882877941515,-1.2506448630783662
38,2023-10-13,-1.7504715972413805,-1.7642254069360959,-1.7279156527569224,-1.7488614485260665,-1.002698514534955
39,2023-10-14,-1.7504969853961014,-1.768865833494543,-1.722970442532732,-1.7445575503234587,-1.4226656981844317
40,2023-10-15,-1.7391726806406282,-1.7568548565244553,-1.722842879588361,-1.744868648683766,-1.3492111352058076
41,2023-10-16,-1.6874888560190058,-1.6758624766546384,-1.7107914193657445,-1.7332997062262239,-0.4585362643983931
42,2023-10-17,-1.6914309980315831,-1.7069764074069853,-1.6730185556026396,-1.6816689500280806,-1.015274741404683
43,2023-10-18,-1.6947531345815015,-1.6968378524080832,-1.6705484731343674,-1.6857921530457316,-1.1075565201744313
44,2023-10-19,-1.679874339696354,-1.6967078709337384,-1.6704044188766451,-1.688872798253627,-1.0335072879004463
45,2023-10-20,-1.6432672187917097,-1.6512550199176812,-1.6540693588367108,-1.673666289632256,-0.729048266193203
46,2023-10-21,-1.634317745783833,-1.6443750140216769,-1.6201377662396637,-1.6375650087366416,-1.1583700093542892
47,2023-10-22,-1.6314487358316243,-1.6476781114540007,-1.6109400562548408,-1.6286296466759385,-1.2053883361438775
48,2023-10-23,-1.513915164363423,-1.4912054747780459,-1.596384928514844,-1.6201972047112967,-0.006246400633297111
49,2023-10-24,-1.4829275110734608,-1.4619444028324824,-1.4890888293164073,-1.5086684425412136,0.2760210112648297
50,2023-10-25,-1.460073569293631,-1.4625699844716915,-1.457151857304068,-1.476814314439138,-0.5693379629301332
51,2023-10-26,-1.4732308691262088,-1.4738560985749845,-1.4551001571964362,-1.4544735356232097,-0.8196347006932598
52,2023-10-27,-1.4826130542798996,-1.4961658726434064,-1.468418511737881,-1.4676820866063187,-0.9488894986383837
53,2023-10-28,-1.4757802258789192,-1.4901193161671729,-1.4507634689046311,-1.4771303084817962,-1.2176812346156065
54,2023-10-29,-1.458718198156511,-1.4772192043655317,-1.4479581383676818,-1.4702315502791259,-1.1747277836946963
55,2023-10-30,-1.460090940136335,-1.4734425611222208,-1.4416580048506549,-1.4534309036364486,-0.9159513883939867
56,2023-10-31,-1.4538037343587433,-1.4781198426308346,-1.442724593719645,-1.4546334612466771,-0.9772287497571641
57,2023-11-01,-1.424557619401394,-1.4477828699134108,-1.4393555464167214,-1.4486633991505984,-0.6899540539970985
58,2023-11-02,-1.4435240556653557,-1.4330804557972625,-1.4304538517414156,-1.418876584186758,-0.7521559498708373
59,2023-11-03,-1.4513505853502386,-1.469745929023208,-1.4407917214315036,-1.437831924479936,-0.9170855224884135
60,2023-11-04,-1.438052685619879,-1.4579829719463882,-1.422160001273289,-1.4456611590373252,-1.2434120981117263
61,2023-11-05,-1.4393008623259553,-1.4548201870977004,-1.4230255316644334,-1.4322285934981536,-1.1209316543510668
62,2023-11-06,-1.4397563644235218,-1.45685768700671,-1.4164279520846763,-1.433946087879305,-1.1088748636365198
63,2023-11-07,-1.424317842384585,-1.4341093170502224,-1.4248925893047706,-1.4338320036451246,-0.8450829726199169
64,2023-11-08,-1.4162709850879716,-1.430282850017422,-1.4016830612869378,-1.4197159711789455,-0.911203513278246
65,2023-11-09,-1.3768244737449598,-1.3578110708531115,-1.3845530295801065,-1.4115826108997493,-0.0320573027627367
66,2023-11-10,-1.3532274459161338,-1.3740344294137081,-1.3548405023001848,-1.3709979976256612,-0.6785716058896335
67,2023-11-11,-1.3599137356696898,-1.3772871901645918,-1.3389976966683688,-1.3479138168624278,-1.0560058602887759
68,2023-11-12,-1.3630885912284783,-1.3840173583407338,-1.3387876018544405,-1.3546010222459288,-1.158173753565978
69,2023-11-13,-1.384075241652019,-1.3773613396865967,-1.3534196890567436,-1.3570197860353643,-0.83550536135659
70,2023-11-14,-1.4207421212249394,-1.4018119247569405,-1.409367109675067,-1.3789910150107942,-0.629340669729244
71,2023-11-15,-1.3316916096194187,-1.3563616382006363,-1.392584826301828,-1.4148305252546385,-0.47864097335180117
72,2023-11-16,-1.3972862871688596,-1.357497180979327,-1.3863508086438079,-1.3262694117724327,-0.5369908999065766
73,2023-11-17,-1.3804900184929456,-1.4036451471290428,-1.3726344034979092,-1.391408690763194,-0.6900074702001409
74,2023-11-18,-1.3809073641240601,-1.398588325576964,-1.359831120113192,-1.3739177529090199,-1.1435563056875828
75,2023-11-19,-1.3504688967072724,-1.3734509049144508,-1.352841664758638,-1.3754219142228747,-1.0993155020447882
76,2023-11-20,-1.3470325876954803,-1.3641674140675244,-1.3348004691634436,-1.3454830363981307,-0.7568786915908138
77,2023-11-21,-1.4102453812321245,-1.3688822099588127,-1.3760049568568467,-1.34187180307119,-0.5728667956950465
78,2023-11-22,-1.348728397655847,-1.3604099676372228,-1.3815121518825952,-1.406914206893005,-0.6061523352415206
79,2023-11-23,-1.3541528515791494,-1.3684028757958113,-1.333206911295217,-1.3437223709998836,-1.0435202343781849
80,2023-11-24,-1.3377843213462242,-1.3394634603735704,-1.3201852497884954,-1.3484361713338828,-0.6694786130774011
81,2023-11-25,-1.334876264115117,-1.3590801120795228,-1.3064668867697788,-1.332291546126245,-1.2632448342197555
82,2023-11-26,-1.346950336012934,-1.3617859834704793,-1.3239966257426787,-1.3294274235968755,-1.0637150297478224
83,2023-11-27,-1.3555003538729937,-1.371575185780725,-1.3399052460222989,-1.3424402956399533,-0.8378586711732213
84,2023-11-28,-1.3335728570373673,-1.341221360899209,-1.334470492290815,-1.3502714587994809,-0.7221751608772244
85,2023-11-29,-1.3325312003501029,-1.3413101644769463,-1.3066513786314722,-1.3283155102871465,-0.7637367899851979
86,2023-11-30,-1.3380707175477253,-1.3497268679273111,-1.309793312687511,-1.3269858132898016,-0.8759561983370254
87,2023-12-01,-1.3009747633131468,-1.3192518540048894,-1.306006485446353,-1.332420910823521,-0.644143369978129
88,2023-12-02,-1.2710403472722516,-1.2920603743503891,-1.2665556493754464,-1.2955334278485329,-0.9868604912006774
